,cat1,cat2,cat3,total_pop,0-14,65-,15-64,temp
0,경상북도,포항시남구,구룡포읍,6796,173,3206,3417,포항시남구 구룡포읍
1,경상북도,포항시남구,연일읍,29119,3320,5172,20627,포항시남구 연일읍
2,경상북도,포항시남구,오천읍,57698,7990,8025,41683,포항시남구 오천읍
3,경상북도,포항시남구,대송면,3209,98,1356,1755,포항시남구 대송면
4,경상북도,포항시남구,동해면,9513,765,2822,5926,포항시남구 동해면
5,경상북도,포항시남구,장기면,3857,107,2022,1728,포항시남구 장기면
6,경상북도,포항시남구,호미곶면,1713,41,864,808,포항시남구 호미곶면
7,경상북도,포항시남구,상대동,23913,1562,6420,15931,포항시남구 상대동
8,경상북도,포항시남구,해도동,16550,811,5558,10181,포항시남구 해도동
9,경상북도,포항시남구,송도동,11595,573,4406,6616,포항시남구 송도동
10,경상북도,포항시남구,청림동,4824,308,1426,3090,포항시남구 청림동
11,경상북도,포항시남구,제철동,2583,190,526,1867,포항시남구 제철동
12,경상북도,포항시남구,효곡동,29915,5648,3513,20754,포항시남구 효곡동
13,경상북도,포항시남구,대이동,24880,3153,2929,18798,포항시남구 대이동
14,경상북도,포항시북구,흥해읍,40822,5378,8413,27031,포항시북구 흥해읍
15,경상북도,포항시북구,신광면,2848,94,1430,1324,포항시북구 신광면
16,경상북도,포항시북구,청하면,4588,164,2024,2400,포항시북구 청하면
17,경상북도,포항시북구,송라면,2413,52,1201,1160,포항시북구 송라면
18,경상북도,포항시북구,기계면,4889,142,2391,2356,포항시북구 기계면
19,경상북도,포항시북구,죽장면,2688,55,1449,1184,포항시북구 죽장면
20,경상북도,포항시북구,기북면,1310,28,693,589,포항시북구 기북면
21,경상북도,포항시북구,중앙동,14607,816,4788,9003,포항시북구 중앙동
22,경상북도,포항시북구,양학동,17019,1820,3095,12104,포항시북구 양학동
23,경상북도,포항시북구,죽도동,19491,1070,5941,12480,포항시북구 죽도동
24,경상북도,포항시북구,용흥동,21008,1901,5340,13767,포항시북구 용흥동
25,경상북도,포항시북구,우창동,32844,4620,5276,22948,포항시북구 우창동
26,경상북도,포항시북구,두호동,22146,2476,4296,15374,포항시북구 두호동
27,경상북도,포항시북구,장량동,71003,11077,8170,51756,포항시북구 장량동
28,경상북도,포항시북구,환여동,9108,1271,1796,6041,포항시북구 환여동
29,경상북도,경주시,감포읍,5225,185,2228,2812,경주시 감포읍
30,경상북도,경주시,안강읍,23134,1564,7360,14210,경주시 안강읍
31,경상북도,경주시,건천읍,8963,475,3642,4846,경주시 건천읍
32,경상북도,경주시,외동읍,21798,1847,5671,14280,경주시 외동읍
33,경상북도,경주시,문무대왕면,4148,226,1553,2369,경주시 문무대왕면
34,경상북도,경주시,양남면,6372,407,2072,3893,경주시 양남면
35,경상북도,경주시,내남면,4519,143,2144,2232,경주시 내남면
36,경상북도,경주시,산내면,3211,72,1727,1412,경주시 산내면
37,경상북도,경주시,서면,3010,97,1504,1409,경주시 서면
38,경상북도,경주시,현곡면,21278,3202,3327,14749,경주시 현곡면
39,경상북도,경주시,강동면,6051,266,2365,3420,경주시 강동면
40,경상북도,경주시,천북면,5704,370,1812,3522,경주시 천북면
41,경상북도,경주시,중부동,4696,230,1733,2733,경주시 중부동
42,경상북도,경주시,황오동,5860,234,2289,3337,경주시 황오동
43,경상북도,경주시,성건동,13344,587,4187,8570,경주시 성건동
44,경상북도,경주시,황남동,4022,134,1808,2080,경주시 황남동
45,경상북도,경주시,선도동,14452,1617,2692,10143,경주시 선도동
46,경상북도,경주시,월성동,5604,465,1924,3215,경주시 월성동
47,경상북도,경주시,용강동,25532,4542,3021,17969,경주시 용강동
48,경상북도,경주시,황성동,27439,3604,3678,20157,경주시 황성동
49,경상북도,경주시,동천동,21339,1690,4362,15287,경주시 동천동
50,경상북도,경주시,불국동,9739,863,2794,6082,경주시 불국동
51,경상북도,경주시,보덕동,1684,79,628,977,경주시 보덕동
52,경상북도,김천시,아포읍,7696,518,2436,4742,김천시 아포읍
53,경상북도,김천시,농소면,3103,176,1185,1742,김천시 농소면
54,경상북도,김천시,남면,2967,111,1304,1552,김천시 남면
55,경상북도,김천시,개령면,2297,94,1030,1173,김천시 개령면
56,경상북도,김천시,감문면,3174,95,1568,1511,김천시 감문면
57,경상북도,김천시,어모면,4028,214,1620,2194,김천시 어모면
58,경상북도,김천시,봉산면,2895,119,1240,1536,김천시 봉산면
59,경상북도,김천시,대항면,3299,145,1291,1863,김천시 대항면
60,경상북도,김천시,감천면,1816,79,766,971,김천시 감천면
61,경상북도,김천시,조마면,2144,72,974,1098,김천시 조마면
62,경상북도,김천시,구성면,2677,63,1373,1241,김천시 구성면
63,경상북도,김천시,지례면,1422,41,763,618,김천시 지례면
64,경상북도,김천시,부항면,1226,30,622,574,김천시 부항면
65,경상북도,김천시,대덕면,2208,146,977,1085,김천시 대덕면
66,경상북도,김천시,증산면,969,19,492,458,김천시 증산면
67,경상북도,김천시,자산동,6173,305,2371,3497,김천시 자산동
68,경상북도,김천시,평화남산동,7122,326,2609,4187,김천시 평화남산동
69,경상북도,김천시,양금동,3643,197,1584,1862,김천시 양금동
70,경상북도,김천시,대신동,24399,2895,3993,17511,김천시 대신동
71,경상북도,김천시,대곡동,19648,2038,4467,13143,김천시 대곡동
72,경상북도,김천시,지좌동,10800,1166,1994,7640,김천시 지좌동
73,경상북도,김천시,율곡동,23541,5570,1240,16731,김천시 율곡동
74,경상북도,안동시,풍산읍,6056,258,2798,3000,안동시 풍산읍
75,경상북도,안동시,와룡면,3879,129,1900,1850,안동시 와룡면
76,경상북도,안동시,북후면,2780,74,1349,1357,안동시 북후면
77,경상북도,안동시,서후면,3449,107,1505,1837,안동시 서후면
78,경상북도,안동시,풍천면,7179,707,1850,4622,안동시 풍천면
79,경상북도,안동시,일직면,2479,85,1293,1101,안동시 일직면
80,경상북도,안동시,남후면,1620,50,886,684,안동시 남후면
81,경상북도,안동시,남선면,1993,71,859,1063,안동시 남선면
82,경상북도,안동시,임하면,2639,80,1283,1276,안동시 임하면
83,경상북도,안동시,길안면,2579,64,1336,1179,안동시 길안면
84,경상북도,안동시,임동면,1650,42,863,745,안동시 임동면
85,경상북도,안동시,예안면,1702,31,893,778,안동시 예안면
86,경상북도,안동시,도산면,1438,26,796,616,안동시 도산면
87,경상북도,안동시,녹전면,1625,43,883,699,안동시 녹전면
88,경상북도,안동시,중구동,4786,300,1605,2881,안동시 중구동
89,경상북도,안동시,명륜동,4661,370,1362,2929,안동시 명륜동
90,경상북도,안동시,용상동,23011,2907,4269,15835,안동시 용상동
91,경상북도,안동시,서구동,8381,849,2492,5040,안동시 서구동
92,경상북도,안동시,태화동,12349,1153,3369,7827,안동시 태화동
93,경상북도,안동시,평화동,5954,500,1833,3621,안동시 평화동
94,경상북도,안동시,안기동,5984,481,1615,3888,안동시 안기동
95,경상북도,안동시,옥동,20571,2762,3503,14306,안동시 옥동
96,경상북도,안동시,송하동,15542,2086,2596,10860,안동시 송하동
97,경상북도,안동시,강남동,10444,1590,1393,7461,안동시 강남동
98,경상북도,구미시,선산읍,13968,1167,4109,8692,구미시 선산읍
99,경상북도,구미시,고아읍,37841,5109,5357,27375,구미시 고아읍
100,경상북도,구미시,산동읍,27436,7408,1282,18746,구미시 산동읍
101,경상북도,구미시,무을면,1792,51,902,839,구미시 무을면
102,경상북도,구미시,옥성면,1637,26,827,784,구미시 옥성면
103,경상북도,구미시,도개면,2065,57,996,1012,구미시 도개면
104,경상북도,구미시,해평면,3748,88,1673,1987,구미시 해평면
105,경상북도,구미시,장천면,2870,138,1154,1578,구미시 장천면
106,경상북도,구미시,송정동,22953,2395,3653,16905,구미시 송정동
107,경상북도,구미시,원평동,8756,849,1679,6228,구미시 원평동
108,경상북도,구미시,도량동,27676,3226,4124,20326,구미시 도량동
109,경상북도,구미시,지산동,1925,76,666,1183,구미시 지산동
110,경상북도,구미시,선주원남동,37816,5073,4040,28703,구미시 선주원남동
111,경상북도,구미시,형곡1동,13092,1396,2048,9648,구미시 형곡1동
112,경상북도,구미시,형곡2동,15891,1270,2266,12355,구미시 형곡2동
113,경상북도,구미시,신평1동,4597,330,711,3556,구미시 신평1동
114,경상북도,구미시,신평2동,2987,340,469,2178,구미시 신평2동
115,경상북도,구미시,비산동,12774,2090,912,9772,구미시 비산동
116,경상북도,구미시,광평동,4143,358,594,3191,구미시 광평동
117,경상북도,구미시,상모사곡동,30123,3867,2262,23994,구미시 상모사곡동
118,경상북도,구미시,임오동,17985,2859,1263,13863,구미시 임오동
119,경상북도,구미시,인동동,46870,6247,4035,36588,구미시 인동동
120,경상북도,구미시,진미동,16842,1202,955,14685,구미시 진미동
121,경상북도,구미시,양포동,45524,8808,2336,34380,구미시 양포동
122,경상북도,구미시,공단동,4207,636,310,3261,구미시 공단동
123,경상북도,영주시,풍기읍,10558,664,3775,6119,영주시 풍기읍
124,경상북도,영주시,이산면,2194,82,955,1157,영주시 이산면
125,경상북도,영주시,평은면,1410,32,745,633,영주시 평은면
126,경상북도,영주시,문수면,1917,89,875,953,영주시 문수면
127,경상북도,영주시,장수면,2068,72,987,1009,영주시 장수면
128,경상북도,영주시,안정면,2841,118,1392,1331,영주시 안정면
129,경상북도,영주시,봉현면,2555,100,1168,1287,영주시 봉현면
130,경상북도,영주시,순흥면,1886,51,944,891,영주시 순흥면
131,경상북도,영주시,단산면,1758,39,916,803,영주시 단산면
132,경상북도,영주시,부석면,2855,78,1457,1320,영주시 부석면
133,경상북도,영주시,상망동,7183,714,1948,4521,영주시 상망동
134,경상북도,영주시,하망동,5803,522,1735,3546,영주시 하망동
135,경상북도,영주시,영주1동,3618,208,1405,2005,영주시 영주1동
136,경상북도,영주시,영주2동,4603,289,1833,2481,영주시 영주2동
137,경상북도,영주시,휴천1동,6275,714,1417,4144,영주시 휴천1동
138,경상북도,영주시,휴천2동,9610,700,2972,5938,영주시 휴천2동
139,경상북도,영주시,휴천3동,7263,613,2072,4578,영주시 휴천3동
140,경상북도,영주시,가흥1동,15439,2557,1887,10995,영주시 가흥1동
141,경상북도,영주시,가흥2동,10264,1259,2073,6932,영주시 가흥2동
142,경상북도,영천시,금호읍,10431,524,3918,5989,영천시 금호읍
143,경상북도,영천시,청통면,3954,121,1787,2046,영천시 청통면
144,경상북도,영천시,신녕면,3642,130,1713,1799,영천시 신녕면
145,경상북도,영천시,화산면,3040,93,1513,1434,영천시 화산면
146,경상북도,영천시,화북면,2212,89,1053,1070,영천시 화북면
147,경상북도,영천시,화남면,3188,105,1501,1582,영천시 화남면
148,경상북도,영천시,자양면,1321,35,581,705,영천시 자양면
149,경상북도,영천시,임고면,4139,148,1999,1992,영천시 임고면
150,경상북도,영천시,고경면,5778,339,2229,3210,영천시 고경면
