진료년도,시도,시군구,환자수,명세서청구건수,입내원일수,요양급여비용총액,보험자부담금
2022,서울,강남구,3241314,18364789,20040702,2765970000000,2198430000000
2022,서울,강동구,1074037,10623072,11766626,1008430000000,768855000000
2022,서울,강서구,1175206,10594896,11392243,848979000000,641184000000
2022,서울,관악구,821673,7364486,7700065,442447000000,330719000000
2022,서울,구로구,913260,8135835,9075055,813000000000,632068000000
2022,서울,도봉구,478155,4692443,5096450,289516000000,217852000000
2022,서울,동대문구,909297,7523214,8424238,721705000000,544082000000
2022,서울,동작구,917798,7033091,7485229,660026000000,506827000000
2022,서울,마포구,948459,6858513,7006861,339876000000,253569000000
2022,서울,서대문구,1107631,7941564,8909666,1519330000000,1241380000000
2022,서울,성동구,673896,5420220,5722701,469460000000,360459000000
2022,서울,성북구,798319,7106191,7774888,691896000000,538531000000
2022,서울,영등포구,1382745,9787182,10811120,960959000000,728746000000
2022,서울,용산구,519388,3479239,3643480,338489000000,265168000000
2022,서울,은평구,783378,8868466,9485258,667330000000,514538000000
2022,서울,종로구,1416166,8169484,9173839,1568940000000,1245220000000
2022,서울,중구,844894,4847166,4961641,373529000000,278570000000
2022,서울,송파구,2003434,15521449,17622060,2328110000000,1878990000000
2022,서울,중랑구,641660,6810782,7269637,446089000000,335763000000
2022,서울,양천구,858250,7536595,8007413,602632000000,459606000000
2022,서울,서초구,1912146,10930673,11639317,1463610000000,1161440000000
2022,서울,노원구,962021,9323140,9934940,778423000000,609361000000
2022,서울,광진구,766716,6453468,6900067,579351000000,440920000000
2022,서울,강북구,581791,5515246,5854036,321084000000,241582000000
2022,서울,금천구,500216,4065041,4367478,241679000000,179813000000
2022,부산,부산남구,442280,4361365,4904091,277588000000,207450000000
2022,부산,부산동구,366407,2592190,3150834,279222000000,211993000000
2022,부산,부산동래구,738485,6057247,7243480,517697000000,387004000000
2022,부산,부산진구,1092440,9163047,10568806,954892000000,732170000000
2022,부산,부산북구,465034,5017963,5830136,377033000000,279251000000
2022,부산,부산서구,583526,4167450,5309930,1007130000000,814036000000
2022,부산,부산영도구,152779,1979011,2301688,129891000000,97982650270
2022,부산,부산중구,203274,1446727,1736282,129220000000,96870936180
2022,부산,부산해운대구,792693,7635061,8724917,708389000000,551917000000
2022,부산,부산사하구,475380,5443210,6570224,384475000000,290406000000
2022,부산,부산금정구,398882,3944741,4849932,263244000000,199400000000
2022,부산,부산강서구,215219,1773952,1834442,80346290050,60461956590
2022,부산,부산연제구,546648,4113827,4813511,301387000000,227792000000
2022,부산,부산수영구,453285,3670243,4487014,369216000000,284135000000
2022,부산,부산사상구,366680,3484894,4453759,351360000000,265255000000
2022,부산,부산기장군,254800,2654027,2970005,207669000000,167274000000
2022,인천,인천미추홀구,715718,6899738,7786992,495534000000,376009000000
2022,인천,인천동구,171517,1378628,1454132,82472798920,59000639100
2022,인천,인천부평구,906419,8697002,9450289,742525000000,563756000000
2022,인천,인천중구,369927,2676186,3084270,396535000000,310656000000
2022,인천,인천서구,938707,9007756,9976250,684805000000,514822000000
2022,인천,인천남동구,1040699,10163278,11445474,986879000000,761234000000
2022,인천,인천연수구,644567,5753693,6042959,317911000000,237471000000
2022,인천,인천계양구,484278,5255505,5916979,371987000000,281012000000
2022,인천,인천강화군,82610,889838,1024055,58766651130,43150955540
2022,인천,인천옹진군,20309,100462,100551,3246505930,2378268040
2022,대구,대구남구,580133,3998084,4966938,756049000000,595638000000
2022,대구,대구동구,689824,6286396,6908481,467970000000,356737000000
2022,대구,대구북구,805056,7703910,8812890,710910000000,563843000000
2022,대구,대구서구,386219,3026072,3589178,198831000000,149320000000
2022,대구,대구수성구,901288,8037083,8764095,512607000000,385521000000
2022,대구,대구중구,946872,5005256,5620730,705645000000,537826000000
2022,대구,대구달서구,1179460,11413392,13024695,1154430000000,881336000000
2022,대구,대구달성군,395989,3608877,4009367,172576000000,130850000000
2022,광주,광주동구,589277,3595233,4649858,705086000000,548345000000
2022,광주,광주북구,770869,7230092,9220433,657300000000,494247000000
2022,광주,광주서구,786370,5756749,6821416,517516000000,387288000000
2022,광주,광주광산구,736978,6857610,8573310,617533000000,460014000000
2022,광주,광주남구,533037,4164725,5240372,415980000000,312896000000
2022,대전,대전유성구,756344,6215721,6947202,419062000000,317110000000
2022,대전,대전대덕구,339489,3147522,3418717,177628000000,131560000000
2022,대전,대전서구,1227049,11015529,12066720,972406000000,741991000000
2022,대전,대전동구,448579,4048296,4571360,254734000000,190967000000
2022,대전,대전중구,698356,5905928,6881092,779673000000,611732000000
2022,울산,울산남구,786056,7702781,8746212,588093000000,433980000000
2022,울산,울산동구,308725,3398184,3817223,456158000000,369899000000
2022,울산,울산중구,432292,3509501,3955176,289481000000,218291000000
2022,울산,울산북구,316395,2800323,3155518,163824000000,120687000000
2022,울산,울산울주군,277062,2538293,3123877,156020000000,117467000000
2022,경기,가평군,88715,788778,889180,37074729900,27977672510
2022,경기,양평군,145055,1528089,1749349,91266610530,68839807580
2022,경기,연천군,51744,452535,472012,18974058430,14446410860
2022,경기,광명시,542941,5699156,6059666,369729000000,280152000000
2022,경기,동두천시,133606,1432588,1739908,90371441850,68026886270
2022,경기,부천시,1316564,15370666,17392740,1452530000000,1110200000000
2022,경기,성남수정구,554158,4805085,5310281,308905000000,233374000000
2022,경기,성남중원구,369475,3350586,3517715,160190000000,118997000000
2022,경기,성남분당구,1697807,13413992,14840197,1757240000000,1371240000000
2022,경기,수원권선구,661269,5222029,5537170,283055000000,211475000000
2022,경기,수원장안구,527338,4334329,4695485,234515000000,174396000000
2022,경기,수원팔달구,902855,6399696,7081547,713675000000,547672000000
2022,경기,수원영통구,1067305,7669172,8462232,859029000000,667328000000
2022,경기,안양만안구,406509,3705651,4065959,263771000000,198937000000
2022,경기,안양동안구,801912,7131965,7557990,635162000000,481565000000
2022,경기,의정부시,800686,8826787,9762536,792297000000,604350000000
2022,경기,과천시,108045,853110,852465,29952963830,22457681860
2022,경기,구리시,438577,3957907,4409027,360972000000,279221000000
2022,경기,안산단원구,754952,7130541,8283529,736153000000,561408000000
2022,경기,안산상록구,458934,3921600,4329804,221633000000,163774000000
2022,경기,평택시,942391,9741292,10438963,674235000000,496601000000
2022,경기,하남시,462548,4585126,4936216,253744000000,191967000000
2022,경기,군포시,429223,4409967,4738759,298722000000,227821000000
2022,경기,남양주시,924916,10313765,11056435,627792000000,472883000000
2022,경기,의왕시,239831,1737043,2107152,105242000000,79819843980
2022,경기,시흥시,770814,7922070,8642737,507869000000,377164000000
2022,경기,오산시,398811,3672456,4023888,241224000000,180638000000
2022,경기,고양덕양구,702682,7067749,7611399,482950000000,367405000000
2022,경기,고양일산서구,609616,5298321,5784633,431365000000,332048000000
2022,경기,고양일산동구,854104,6538095,7926541,984753000000,794119000000
2022,경기,용인기흥구,759032,6225563,7127171,521647000000,401599000000
2022,경기,용인수지구,575821,5027665,5276634,255056000000,192612000000
2022,경기,용인처인구,456801,3622678,3926530,229103000000,170534000000
2022,경기,이천시,356571,3522441,3782467,190847000000,142006000000
2022,경기,파주시,641842,6719871,7523881,396420000000,296381000000
2022,경기,김포시,744404,7900002,8504946,518651000000,388484000000
2022,경기,안성시,276992,2806190,3109832,155224000000,112286000000
2022,경기,화성시,1429099,13640819,14379066,898567000000,684310000000
2022,경기,광주시,467470,4653580,5020894,268125000000,198745000000
2022,경기,양주시,315679,3035319,3391030,166667000000,125374000000
2022,경기,포천시,215970,2054503,2242884,118194000000,86155933750
2022,경기,여주시,146557,1606053,1917887,96690022270,71983321980
2022,강원,고성군,24443,233807,233579,6734911610,5156662810
2022,강원,양구군,25433,224621,231852,7674430920,5816568910
2022,강원,양양군,30072,217479,217202,6338403890,4818085720
2022,강원,영월군,50436,454490,469315,21843206190,15813495880
2022,강원,인제군,36600,311789,314550,9089290650,6719589850
2022,강원,정선군,36810,297044,299634,12128052840,8899056630
2022,강원,철원군,53704,524461,560621,22838005640,17214325570
2022,강원,평창군,51056,408034,429903,15278745770,11453084460
2022,강원,홍천군,91665,951916,1020585,48984744890,36230103910
2022,강원,화천군,27544,208219,208200,5398276920,4119787400
2022,강원,횡성군,54922,548740,577943,25239424460,18990111520
2022,강원,강릉시,385768,3951246,4383845,437453000000,334148000000
2022,강원,동해시,131384,1516125,1696881,82225665270,61347896530
2022,강원,속초시,169698,1641793,1777790,94338242880,68727231980
2022,강원,원주시,560996,6532023,7358034,652947000000,500358000000
2022,강원,춘천시,428934,5312690,5896063,475543000000,365702000000
2022,강원,태백시,58263,703916,719608,28322742220,20657024180
