행정구역(동읍면)별,,,계,0 - 4세,5 - 9세,10 - 14세,65 - 69세,70 - 74세,75 - 79세,80 - 84세,85 - 89세,90 - 94세,95 - 99세,100+
경상북도,포항시남구,구룡포읍,6796,32,52,89,986,746,533,541,306,77,15,2
경상북도,포항시남구,연일읍,29119,487,1176,1657,2129,1325,797,511,297,92,19,2
경상북도,포항시남구,오천읍,57698,1899,2777,3314,3347,1977,1123,937,455,155,29,2
경상북도,포항시남구,대송면,3209,20,30,48,483,341,233,159,99,33,8,0
경상북도,포항시남구,동해면,9513,178,221,366,953,695,497,397,201,60,16,3
경상북도,포항시남구,장기면,3857,18,33,56,474,446,370,372,243,95,17,5
경상북도,포항시남구,호미곶면,1713,4,16,21,222,208,153,160,79,35,6,1
경상북도,포항시남구,상대동,23913,327,555,680,2480,1859,1124,638,229,76,11,3
경상북도,포항시남구,해도동,16550,192,260,359,2063,1546,967,685,215,70,10,2
경상북도,포항시남구,송도동,11595,108,185,280,1578,1182,770,565,224,58,27,2
경상북도,포항시남구,청림동,4824,114,84,110,495,365,284,189,69,23,1,0
경상북도,포항시남구,제철동,2583,35,62,93,201,145,87,51,32,7,3,0
경상북도,포항시남구,효곡동,29915,864,2311,2473,1793,961,429,176,92,49,12,1
경상북도,포항시남구,대이동,24880,836,1015,1302,1249,761,383,307,165,50,14,0
경상북도,포항시북구,흥해읍,40822,1286,1987,2105,3080,2002,1320,1148,587,219,51,6
경상북도,포항시북구,신광면,2848,22,30,42,439,309,216,227,145,80,12,2
경상북도,포항시북구,청하면,4588,15,39,110,561,435,363,370,192,83,20,0
경상북도,포항시북구,송라면,2413,8,23,21,327,266,205,222,120,49,12,0
경상북도,포항시북구,기계면,4889,33,56,53,679,533,390,408,266,92,19,4
경상북도,포항시북구,죽장면,2688,6,25,24,469,317,215,239,153,40,13,3
경상북도,포항시북구,기북면,1310,2,9,17,201,161,112,114,68,32,2,3
경상북도,포항시북구,중앙동,14607,248,272,296,1595,1221,874,677,305,100,14,2
경상북도,포항시북구,양학동,17019,366,632,822,1334,795,480,290,130,56,10,0
경상북도,포항시북구,죽도동,19491,285,359,426,2128,1563,1089,744,290,101,21,5
경상북도,포항시북구,용흥동,21008,405,678,818,2054,1411,898,599,254,103,18,3
경상북도,포항시북구,우창동,32844,1184,1661,1775,2229,1327,762,550,281,105,16,6
경상북도,포항시북구,두호동,22146,611,883,982,1845,1088,661,413,209,68,11,1
경상북도,포항시북구,장량동,71003,2173,4094,4810,3762,2114,1078,685,370,122,34,5
경상북도,포항시북구,환여동,9108,240,438,593,728,488,306,171,73,29,1,0
경상북도,경주시,감포읍,5225,35,64,86,654,494,404,398,196,61,16,5
경상북도,경주시,안강읍,23134,227,515,822,2253,1709,1300,1168,673,215,33,9
경상북도,경주시,건천읍,8963,90,157,228,1045,887,659,573,330,123,20,5
경상북도,경주시,외동읍,21798,663,626,558,2013,1339,884,739,476,183,31,6
경상북도,경주시,문무대왕면,4148,114,55,57,441,332,264,285,158,66,6,1
경상북도,경주시,양남면,6372,85,158,164,746,461,319,297,165,65,18,1
경상북도,경주시,내남면,4519,24,40,79,603,508,328,362,238,88,16,1
경상북도,경주시,산내면,3211,17,23,32,552,389,288,270,165,52,10,1
경상북도,경주시,서면,3010,19,25,53,390,347,296,265,147,57,2,0
경상북도,경주시,현곡면,21278,845,1179,1178,1238,791,505,429,264,81,16,3
경상북도,경주시,강동면,6051,45,86,135,718,535,412,377,220,86,17,0
경상북도,경주시,천북면,5704,111,118,141,536,438,304,303,161,61,8,1
경상북도,경주시,중부동,4696,54,66,110,501,445,315,289,125,55,3,0
경상북도,경주시,황오동,5860,58,62,114,727,560,409,375,145,63,8,2
경상북도,경주시,성건동,13344,139,168,280,1301,1127,811,576,269,89,12,2
경상북도,경주시,황남동,4022,30,37,67,467,428,299,348,189,65,12,0
경상북도,경주시,선도동,14452,258,588,771,902,671,448,361,232,57,19,2
경상북도,경주시,월성동,5604,80,166,219,578,441,350,302,174,63,14,2
경상북도,경주시,용강동,25532,1117,1762,1663,1168,751,438,350,214,83,16,1
경상북도,경주시,황성동,27439,724,1227,1653,1483,884,559,395,249,89,16,3
경상북도,경주시,동천동,21339,315,551,824,1693,1091,718,527,222,96,10,5
경상북도,경주시,불국동,9739,262,282,319,917,658,466,409,253,71,19,1
경상북도,경주시,보덕동,1684,19,27,33,198,148,107,97,48,23,6,1
경상북도,김천시,아포읍,7696,144,173,201,796,566,403,339,229,82,20,1
경상북도,김천시,농소면,3103,39,74,63,340,275,176,189,148,47,10,0
경상북도,김천시,남면,2967,27,39,45,346,290,200,236,145,74,11,2
경상북도,김천시,개령면,2297,27,20,47,289,250,172,159,107,44,8,1
경상북도,김천시,감문면,3174,37,22,36,417,314,259,266,194,99,16,3
경상북도,김천시,어모면,4028,60,71,83,458,365,291,266,165,58,11,6
경상북도,김천시,봉산면,2895,27,38,54,386,276,226,196,109,40,7,0
경상북도,김천시,대항면,3299,42,42,61,401,293,219,196,123,46,11,2
경상북도,김천시,감천면,1816,22,19,38,206,186,112,129,88,34,10,1
경상북도,김천시,조마면,2144,18,16,38,288,214,163,137,124,36,11,1
경상북도,김천시,구성면,2677,15,23,25,329,328,220,230,178,67,19,2
경상북도,김천시,지례면,1422,12,8,21,200,148,134,153,82,34,11,1
경상북도,김천시,부항면,1226,5,6,19,175,131,94,121,77,21,2,1
경상북도,김천시,대덕면,2208,17,21,108,262,194,164,179,123,48,6,1
경상북도,김천시,증산면,969,6,7,6,149,111,71,70,71,16,3,1
경상북도,김천시,자산동,6173,65,94,146,756,606,417,357,177,47,11,0
경상북도,김천시,평화남산동,7122,64,92,170,786,625,472,396,247,60,20,3
경상북도,김천시,양금동,3643,37,59,101,445,368,299,278,138,46,7,3
경상북도,김천시,대신동,24399,602,962,1331,1326,986,633,589,320,124,10,5
경상북도,김천시,대곡동,19648,454,702,882,1524,1108,737,617,338,117,21,5
경상북도,김천시,지좌동,10800,339,353,474,710,495,338,268,124,45,13,1
경상북도,김천시,율곡동,23541,1498,2152,1920,554,274,179,121,72,31,8,1
경상북도,안동시,풍산읍,6056,45,86,127,721,625,517,470,316,117,27,5
경상북도,안동시,와룡면,3879,32,30,67,526,387,321,340,223,85,17,1
경상북도,안동시,북후면,2780,16,26,32,325,262,225,281,178,52,25,1
경상북도,안동시,서후면,3449,24,30,53,417,348,228,245,162,77,26,2
경상북도,안동시,풍천면,7179,289,222,196,513,394,323,327,198,80,14,1
경상북도,안동시,일직면,2479,18,20,47,295,307,233,229,162,54,12,1
경상북도,안동시,남후면,1620,14,18,18,199,175,166,167,129,37,13,0
경상북도,안동시,남선면,1993,20,27,24,253,186,145,153,87,28,6,1
경상북도,안동시,임하면,2639,20,18,42,371,266,206,227,136,68,8,1
경상북도,안동시,길안면,2579,14,17,33,368,276,228,275,135,44,7,3
경상북도,안동시,임동면,1650,8,13,21,238,176,148,173,100,26,2,0
경상북도,안동시,예안면,1702,5,9,17,249,188,148,182,91,29,6,0
경상북도,안동시,도산면,1438,4,6,16,223,171,133,157,78,29,4,1
경상북도,안동시,녹전면,1625,7,12,24,240,182,163,150,110,28,9,1
경상북도,안동시,중구동,4786,74,91,135,429,384,333,284,123,40,11,1
경상북도,안동시,명륜동,4661,72,115,183,425,312,240,252,88,39,5,1
경상북도,안동시,용상동,23011,684,1036,1187,1362,1057,728,647,326,135,14,0
경상북도,안동시,서구동,8381,112,312,425,750,585,459,404,199,73,20,2
경상북도,안동시,태화동,12349,290,409,454,1050,852,618,516,244,68,18,3
경상북도,안동시,평화동,5954,80,178,242,569,469,331,281,125,42,15,1
경상북도,안동시,안기동,5984,103,141,237,517,442,288,212,119,29,7,1
경상북도,안동시,옥동,20571,549,946,1267,1281,828,526,491,264,90,21,2
경상북도,안동시,송하동,15542,512,756,818,976,586,398,334,203,72,24,3
경상북도,안동시,강남동,10444,356,525,709,490,340,233,179,94,47,8,2
경상북도,구미시,선산읍,13968,221,427,519,1312,946,650,595,402,168,25,11
경상북도,구미시,고아읍,37841,1177,1955,1977,2176,1154,698,693,423,167,41,5
경상북도,구미시,산동읍,27436,2179,2984,2245,490,294,161,162,123,40,11,1
경상북도,구미시,무을면,1792,7,25,19,247,205,130,160,98,47,15,0
경상북도,구미시,옥성면,1637,4,11,11,245,175,118,150,101,32,5,1
경상북도,구미시,도개면,2065,10,15,32,265,197,151,212,116,48,7,0
